title,url,departments,branches,teams,category
"BR Facebook","https://www.facebook.com/burgessrawsonau/","Burgess Rawson",,,"Social"
"BR LinkedIn","https://www.linkedin.com/company/burgess-rawson/","Burgess Rawson",,,"Social"
"BR Instagram","https://www.instagram.com/burgessrawsonau/","Burgess Rawson",,,"Social"
"LinkedIn","https://www.linkedin.com/","Burgess Rawson",,,"Social"
"Sharepoint NSW","https://burgessrawsonmelb.sharepoint.com/sites/BurgessRawsonSydney",,"Sydney",,"Sharepoint"
"Sharepoint QLD","https://burgessrawsonmelb.sharepoint.com/sites/burgessrawsonbrisbane",,"",,"Sharepoint"
"Sharepoint Asset Management","https://burgessrawsonmelb.sharepoint.com/sites/pm","Asset Management",,,"Sharepoint"
"Sharepoint Supamac","https://burgessrawsonmelb.sharepoint.com/sites/SupamacMarketing",,,"Supamac","Sharepoint"
"AFR","https://www.afr.com","Burgess Rawson",,,"News"
"Herald Sun","https://www.heraldsun.com.au","Burgess Rawson",,,"News"
"Sydney Morning Herald","https://www.smh.com.au","Burgess Rawson",,,"News"
"The Age","https://www.theage.com.au","Burgess Rawson",,,"News"
"The Australian","https://www.theaustralian.com.au","Burgess Rawson",,,"News"
"PropertyBase","https://burgessrawson-syd.lightning.force.com/lightning/page/home","",,,"Tools"
"CentralStation","https://central-station.wallst.com.au/","Burgess Rawson",,,"Tools"
"RP Data","https://www.corelogic.com.au/software-solutions/rp-data","Agency",,,"Tools"
"TM1","https://brvicprod.planning-analytics.cloud.ibm.com/tm1web/","",,,"Tools"
"PageProof","https://pageproof.com/","",,,"Tools"
"DocuSign","https://www.docusign.com/","Agency",,,"Tools"
"Request Schedule (NSW)","https://supamacmarketing.formstack.com/forms/sydney_sales_marketing_schedule","Agency","Sydney",,"Tools"
"Request Schedule (VIC)","https://supamacmarketing.formstack.com/forms/salesmarketing_order_form","Agency","",,"Tools"
"Request Schedule (QLD)","https://supamacmarketing.formstack.com/forms/queensland_marketing_schedule","Agency","",,"Tools"
"AuctionsLive","https://auctionslive.com/","",,,"Tools"
"MYOB","https://www.myob.com/au/","Finance",,,"Tools"
"Deft","https://www.deft.com.au/","Finance",,,"Tools"
"Cirrus8","https://cirrus8.com.au/","",,,"Tools"
"Loomly","https://www.loomly.com/","Marketing",,,"Tools"
"Supabase","https://supabase.com/dashboard/project/dodfdwvvwmnnlntpnrec/editor","Technology",,,"Tools"
"Real Commercial","https://www.realcommercial.com.au/","Burgess Rawson",,,"Advertising"
"Commercial Real Estate","https://www.commercialrealestate.com.au/","Burgess Rawson",,,"Advertising"
"Commercial Ready","https://www.commercialready.com.au/","Burgess Rawson",,,"Advertising"
"Development Ready","https://www.developmentready.com.au/","Burgess Rawson",,,"Advertising"
"RealEstate","https://www.realestate.com.au/","Burgess Rawson",,,"Advertising"